ym,alpha,liis_net_scaled,log_mktcap,n
2007-08,-0.06341342263509744,-2.8969994053493382e-06,0.004188739210115486,3242
2007-09,-0.22346053388793372,0.0393942358115376,0.011926798502528863,1064
2007-10,-0.29554255578313327,0.07182232334359397,0.010892947282604648,999
2007-11,-0.1018312897565065,-0.08798164017888949,0.004521567976862515,1435
2007-12,0.11408818470797194,-1.1074954686359287e-06,-0.008376271184313333,1375
2008-01,0.07633884951597635,-0.064384288386902,-0.005564021959926541,1266
2008-02,-0.08709888845302904,0.13654816463904215,0.0030812821785306506,1509
2008-03,-0.18116020303342115,0.24976459606632445,0.010592743746124686,1469
2008-04,-0.05837292078580303,-0.00011831373729989225,0.0049698722339293535,1093
2008-05,-0.10545377520755203,-0.09327925774032376,0.0008676003004535803,1455
2008-06,-0.025908240179250735,-0.11858008786804214,0.001523620937370848,1308
2008-07,0.019889637828813502,-0.26775227215743835,0.0005469597982878358,1092
2008-08,-0.1572438267943621,0.1583911395344318,0.0025802211300160424,1262
2008-09,-0.22378275900697062,0.00017954030322384873,0.00023838957839144383,1169
2008-10,-0.4519863537413081,0.0005205713739944717,0.015637253812832895,1063
2008-11,-0.16736463259229264,3.83885391518719e-06,0.011031563200469762,1348
2008-12,0.584320224009264,0.01515927032977727,-0.03188144569438876,1326
2009-01,-0.09863158160417582,-0.13096091142513985,-0.0009782219592000966,1265
2009-02,0.2390503582619774,0.1695327600106667,-0.007427464489855437,1416
2009-03,0.8769719778570461,-0.01297477792126589,-0.03361008524846504,1403
2009-04,0.572652467597669,-4.091999715515743e-05,-0.02457201798296303,1283
2009-05,0.19683677401127467,8.395564742262737e-07,-0.008547769641965559,1487
2009-06,0.014481230080818173,-0.22149534322671038,0.003612660130273417,1247
2009-07,0.39512109003978724,-0.007986032424441184,-0.01692504504506958,985
2009-08,0.27101223502970495,-7.269921986593e-05,-0.01020209330127065,1208
2009-09,-0.16082543022134,0.03405315659248673,0.005164792774708571,990
2009-10,-0.25005341216384985,0.05807108477736993,0.01393822517479198,977
2009-11,-0.0065741721449264,-0.12737476202219827,0.003760013348004563,1186
2009-12,0.3368394962811457,-0.050775746699237415,-0.01755081294845499,1244
2010-01,-0.0006389555409561679,-0.16589682395357302,0.0018999248470158475,1234
2010-02,0.1113414414012207,0.008627424329280094,-0.0014126863304535081,1362
2010-03,0.3980239715618718,-0.04656236798232193,-0.016581729220187306,1522
2010-04,-0.07827920156706246,-0.011883512897490714,0.000239041464849354,1176
2010-05,-0.16768669314907717,-0.12879269476886407,0.004918931266186667,1574
2010-06,-0.020215360285884488,0.020616151613499823,0.004129762952666749,1388
2010-07,-0.12527727487356546,-0.0003681318967560742,0.003648747709485871,1112
2010-08,0.09091289799276422,0.3143030993114465,0.0012922776406746907,628
2011-02,-0.023014870089863002,-0.19537616116557294,0.0017973028148492662,1344
2011-03,-0.12189887876279126,-0.15451480663222628,0.00700432559546813,1761
2011-04,-0.10691193072827229,0.03486351415405155,0.0044376172911125555,1239
2011-05,-0.004715644706435219,-0.4544001113867304,-0.0008579379020634088,1578
2011-06,0.07250865350317467,-0.0009817951015485583,-0.005152363376820201,1453
2011-07,-0.1967010878089466,-0.004184199663431341,0.005484281962208442,1078
2011-08,-0.09419194727942197,-0.0020457576044765513,-0.0004037118683246127,1586
2011-09,-0.2454608178916528,-0.40494079907705666,0.01817134259595655,1114
2011-10,-0.12757849180875228,0.246370910200507,0.005510504695819987,1040
2011-11,0.11476620830326206,3.113117535247494e-06,-0.0052187358846865,1256
2011-12,0.39377531349827305,-0.10106533997196333,-0.015211814845081885,1365
2012-01,0.08987364570839323,-0.00508183163661896,-0.0026858484234891485,1556
2012-02,0.12868476493332465,-0.055970042139145186,-0.00485350339579988,1659
2012-03,-0.012289902201336586,0.0010653063338579185,2.990397070240108e-06,1683
