event_decile,-5,-4,-3,-2,-1,0,1,2,3,4,5
1.0,0.003909951289653789,0.003415794561799251,0.0010318103705518195,-7.447183137147537e-06,-0.0007527268590992533,0.000422512007218995,0.00022236634455106549,5.373024415113583e-06,0.0006838662749547808,0.00032695545059127363,0.0006957084724967624
2.0,0.0036931852947390664,0.004119035412929374,0.0018351884617080377,0.0004794286408081331,-0.0008887538070502574,2.3962770274025904e-05,0.0002480778372152263,-2.610957195670572e-05,0.0004241162259655161,0.0005872135141142475,0.00040236270704946815
3.0,0.0030237246174154284,0.003352822992578726,0.0016173123613364682,0.0006822039834794518,-0.0005503713899117164,0.0002790486201199703,-2.0994840178107803e-06,6.078764804475474e-05,0.00031083243761150637,0.00043014296497752123,0.00038580350716409234
4.0,0.002211309358810469,0.0019839944232922734,0.0008205648130742947,0.0003622359152648513,-0.00045700976755002823,4.1509299490135225e-05,-8.830083827302487e-05,-4.785578545422253e-05,0.00021642382000220046,0.0004032492931040218,8.51858116411574e-05
5.0,0.0009118989450742043,0.0009690620851054253,9.418239930628898e-05,0.00045906564022098,3.919551699204629e-05,0.00047713450220696415,0.00022324133334814336,4.566842134612167e-05,0.00019410947725083323,0.0003501183953796925,0.00020861347227056826
6.0,0.0002690735672487989,0.0006277625782828565,0.0010185247767659801,0.0006686884660724713,0.0008245655365723437,0.00047908284456652666,0.00034364336144125,0.0004104960401325888,0.00045789785624211857,0.0006717120432292422,0.0007869011520554618
7.0,0.0008166847166390794,0.001005505410580691,0.0011159384418365883,0.0006677973880556134,0.0009542497782114975,0.0005703871320873961,0.000591880929385775,0.00020172038287913574,0.00031658753061382806,0.0007929342630370321,0.0004509267777940795
8.0,0.0005266605693805789,0.0009965099520866916,0.0007776087508491375,0.0008099781871808417,0.0011737319314641744,0.0005137245464392093,0.000744471453113496,0.000589393224642523,0.0005375764586741451,0.0008340321682855132,0.000440886426405438
9.0,-0.0013661226608432722,-0.0008212915402952335,0.00029415700834843313,0.0022947250560630093,0.0029597409273969246,0.0015126857461894925,0.0010679365802577785,0.0008421026242846924,0.0011473237796187422,0.001132451560595386,0.0010520286861732645
10.0,-0.0027032927297698673,-0.0006621399822399822,0.000359729118964659,0.003216817674327501,0.005855121926320462,0.002019240024069266,0.0008732160905217014,0.0004665152158844442,0.0009416462945674402,0.0010365662589936107,0.0008284986112516728
