event_decile,-5,-4,-3,-2,-1,0,1,2,3,4,5
1.0,0.003909951289653789,0.00732574585145304,0.00835755622200486,0.008350109038867713,0.007597382179768459,0.008019894186987455,0.00824226053153852,0.008247633555953633,0.008931499830908414,0.009258455281499687,0.009954163753996449
2.0,0.0036931852947390664,0.00781222070766844,0.009647409169376477,0.01012683781018461,0.009238084003134353,0.009262046773408378,0.009510124610623606,0.0094840150386669,0.009908131264632416,0.010495344778746663,0.01089770748579613
3.0,0.0030237246174154284,0.006376547609994154,0.007993859971330623,0.008676063954810074,0.008125692564898358,0.008404741185018327,0.008402641701000517,0.008463429349045272,0.008774261786656778,0.0092044047516343,0.009590208258798392
4.0,0.002211309358810469,0.004195303782102743,0.005015868595177038,0.005378104510441889,0.004921094742891861,0.004962604042381996,0.004874303204108971,0.004826447418654748,0.005042871238656948,0.00544612053176097,0.005531306343402128
5.0,0.0009118989450742043,0.0018809610301796296,0.0019751434294859186,0.002434209069706899,0.002473404586698945,0.002950539088905909,0.003173780422254052,0.003219448843600174,0.003413558320851007,0.0037636767162306994,0.003972290188501267
6.0,0.0002690735672487989,0.0008968361455316554,0.0019153609222976355,0.0025840493883701066,0.0034086149249424502,0.003887697769508977,0.004231341130950227,0.004641837171082816,0.005099735027324934,0.005771447070554176,0.006558348222609638
7.0,0.0008166847166390794,0.0018221901272197703,0.0029381285690563584,0.0036059259571119716,0.004560175735323469,0.005130562867410865,0.005722443796796641,0.005924164179675776,0.006240751710289604,0.007033685973326636,0.007484612751120716
8.0,0.0005266605693805789,0.0015231705214672705,0.002300779272316408,0.0031107574594972497,0.004284489390961424,0.004798213937400633,0.005542685390514128,0.006132078615156651,0.0066696550738307965,0.00750368724211631,0.007944573668521748
9.0,-0.0013661226608432722,-0.0021874142011385055,-0.0018932571927900723,0.00040146786327293705,0.0033612087906698617,0.004873894536859354,0.005941831117117133,0.006783933741401825,0.007931257521020568,0.009063709081615953,0.010115737767789217
10.0,-0.0027032927297698673,-0.0033654327120098493,-0.0030057035930451904,0.0002111140812823104,0.006066236007602772,0.008085476031672038,0.008958692122193739,0.009425207338078183,0.010366853632645624,0.011403419891639234,0.012231918502890907
