ym,long_short_10_1,wealth,drawdown
2007-08,0.02111177402728429,1.0211117740272844,0.0
2007-09,-0.03008473269230769,0.9903918992567055,-0.030084732692307714
2007-10,0.0008409334035580501,0.9912247528874036,-0.029269098545407712
2007-11,-0.01098451661401024,0.9803366281210938,-0.0399321082601688
2007-12,0.04434366240227434,1.0238083445990795,0.0
2008-01,-0.01990249871630295,1.0034320003349562,-0.019902498716302897
2008-02,-0.0064611472471190826,0.9969486784283208,-0.02623505298863027
2008-03,-0.020045203140830803,0.9769646396482423,-0.04575436916289355
2008-04,-0.04302332542405185,0.9349323720288645,-0.08680918947287797
2008-05,-0.07859829999999998,0.8614482769724282,-0.15858443475593187
2008-06,0.031012715301587303,0.8881641271332171,-0.1324898533806933
2008-07,-0.007502859291698399,0.8815003566594025,-0.13899865994489857
2008-08,-0.01967433511904762,0.8641574232349255,-0.1559382888470917
2008-09,-0.014832803008365508,0.8513395464078651,-0.1684580899355267
2008-10,0.02899498514851484,0.8760241239123044,-0.14434754460283972
2008-11,0.004518501253132835,0.8799824400139767,-0.1404812779108815
2008-12,0.10076206905386825,0.9686512914008565,-0.05387439308264519
2009-01,0.0065735334710155385,0.9750187530866224,-0.04765500473778905
2009-02,-0.04204408303131929,0.9340249836747551,-0.0876954767930549
2009-03,0.13542167056530213,1.0605122073137194,0.0
2009-04,0.03619991367521369,1.0989026576699863,0.0
2009-05,0.02342790345965403,1.124647643045436,0.0
2009-06,-0.04578693220338983,1.0731534776606124,-0.04578693220338981
2009-07,0.045383424627720506,1.121856857627999,-0.0024814753622564023
2009-08,-0.010144180040157658,1.1104765396849352,-0.012600482869573937
2009-09,0.013974832785770927,1.1259952636395536,0.0
2009-10,-0.040581623715037055,1.0803005475456193,-0.04058162371503704
2009-11,0.01047378094769634,1.0916153788382885,-0.03053288580463387
2009-12,0.057163430213706706,1.1540158583667202,0.0
2010-01,-0.00248994871794872,1.1511424180596874,-0.00248994871794872
2010-02,0.03816570146958305,1.1950765759363275,0.0
2010-03,0.04789129130116959,1.2523103363616985,0.0
2010-04,0.024508534802043423,1.283002627823378,0.0
2010-05,0.016403732962213223,1.3040486603200105,0.0
2010-06,0.0029562904124860734,1.3079038068719298,0.0
2010-07,-0.01675311548782825,1.2859923433484342,-0.016753115487828207
2010-08,-0.015731031984691085,1.2657623566631522,-0.03222060367693702
2011-02,-0.02238362350090854,1.2374300086299814,-0.05388301331616896
2011-03,0.015856963829566306,1.257051891518447,-0.03888047047978527
2011-04,-0.012482654061624649,1.2413605476191114,-0.05087779307865736
2011-05,-0.02184135947712418,1.2142475456578428,-0.07160791238774777
2011-06,0.00911941957470011,1.2253207784942466,-0.0631415154109799
2011-07,0.01325290213252095,1.2415598348525752,-0.05072542160269977
2011-08,0.033180780529755746,1.2827557592473782,-0.019227750154422574
2011-09,-0.0030132159090909133,1.278890539186136,-0.022183028700852092
2011-10,-0.019123888839085616,1.2544331786773821,-0.0408826917649483
2011-11,0.025584082877959925,1.286526701085527,-0.016344555061376886
2011-12,-0.007852035364980914,1.2764248479306113,-0.024068252401990953
2012-01,0.007378023265306122,1.2858423401550583,-0.016867805262861912
2012-02,0.01362817307692308,1.303366022116327,-0.003469509555489081
2012-03,0.019343816443232596,1.3285780952064916,0.0
2012-04,0.024185758048780488,1.3607107635660656,0.0
2012-05,0.01379003676470588,1.3794750150217727,0.0
2012-06,0.03214028072358771,1.423811729255748,0.0
2012-07,0.010887969043478257,1.4393141472876256,0.0
2012-08,-0.0010888181130035146,1.4377469959737565,-0.0010888181130035424
2012-09,0.010591012342215992,1.4529741921530985,0.0
2012-10,-0.018667783109551417,1.425850385070209,-0.018667783109551306
2012-11,0.01803562062374246,1.4515664816815523,-0.0009688475398590413
2012-12,0.02379154161087442,1.4861014860314297,0.0
2013-01,0.022301477353215284,1.5192437446667393,0.0
2013-02,0.005121344827586215,1.527024315760331,0.0
2013-03,0.010601599137128314,1.5432132154286695,0.0
2013-04,-0.0062218299603174695,1.5336116052097575,-0.006221829960317504
2013-05,-0.012800336734693881,1.5139808602428382,-0.018942525176413372
2013-06,-0.015092015873015875,1.491131837068611,-0.03374866015879174
2013-07,-0.018164573979591835,1.4640460625008536,-0.051300204104217095
2013-08,0.0040102871811023635,1.469917307657844,-0.047495645474021964
2013-09,0.0019375979824397538,1.4727654164675152,-0.04565007495842721
2013-10,-0.027599504944054123,1.4321178200742881,-0.07198966043296984
2013-11,0.011483681717321143,1.4485638053017251,-0.061332685062998826
2013-12,0.05086760535714285,1.5222487772844544,-0.013584926525134544
2014-01,0.006081558849955072,1.531506422807782,-0.007585985205314394
2014-02,0.028429307960765583,1.575046090545675,0.0
2014-03,0.018126954173854345,1.6035968788507047,0.0
2014-04,0.014726124789915966,1.62721164660138,0.0
2014-05,0.02013341581196581,1.659972975296479,0.0
2014-06,0.014563320232148104,1.684147693312433,0.0
2014-07,-0.026462194393382356,1.6395814496648329,-0.026462194393382377
2014-08,0.004531871460843377,1.647011822044297,-0.02205024619610174
2014-09,-0.03230482418001526,1.5938053947107496,-0.05364274104962585
2014-10,-0.019070106579921718,1.5634113559659615,-0.07168987484049194
2014-11,-0.05775399260504202,1.4731181080748648,-0.12530349094413973
2014-12,-0.01718402298850575,1.4478040126409222,-0.14033429586372137
2015-01,-0.020114299091204157,1.418682449705217,-0.15762586895516917
2015-02,-0.0008212749316939888,1.41751732137324,-0.1583176897121038
2015-03,0.04003700909712723,1.4742704752643956,-0.12461924739821639
2015-04,-0.014509447914764079,1.4528796245912723,-0.1373205388336789
2015-05,0.00577545240318119,1.461270661710651,-0.13233817466651088
2015-06,-0.02358989577285922,1.4267994391049599,-0.15280622669221655
2015-07,0.012510810023967298,1.444649855829905,-0.14220714634087495
2015-08,-0.037555474698310526,1.390395344721367,-0.1744219641528617
2015-09,0.009136157705577921,1.403098215863843,-0.16687935301910095
2015-10,-0.022222286968610522,1.3719181646657712,-0.185393199115785
2015-11,0.014845683653846156,1.3922852277373645,-0.1732998042475863
2015-12,0.005355934457378725,1.3997422161631026,-0.1688720521832341
2016-01,0.00032342485386114075,1.4001949275848082,-0.16860324474817168
2016-02,0.02546519979338842,1.4358511711654443,-0.1474315602681091
2016-03,0.01722228617547887,1.460579810940652,-0.13274838261486488
2016-04,0.0008551361502347411,1.4618288055372903,-0.13200676440548942
2016-05,-0.019061014757738016,1.4339648651016574,-0.14855159627877312
2016-06,-0.028550987430233113,1.3930237522627442,-0.1728612889509099
2016-07,0.03716720944309927,1.4447985578223057,-0.14211885123885315
2016-08,-0.04219918039067104,1.383829242852581,-0.1783207325891809
2016-09,-0.007927484729064044,1.3728589576622348,-0.1848345824337687
2016-10,0.027112523255813953,1.4100806280788047,-0.16273339109266893
2016-11,-0.004154726623484477,1.404222128552066,-0.16621200496365074
2016-12,0.04365307557512581,1.4655207432540134,-0.1298145946026964
2017-01,0.012573895467781678,1.4839480478855551,-0.11887297427764143
2017-02,-0.004522226292926809,1.4772372990060698,-0.12285763008077133
2017-03,-0.01844721815936277,1.449986380278157,-0.13903846673549192
2017-04,-0.02859020719895288,1.4085309692303447,-0.16365353536185234
2017-05,0.007482321857571861,1.419070051288484,-0.15739572192898732
2017-06,-0.019277126175160808,1.391714458858404,-0.17363871091309246
2017-07,0.004397793081220458,1.397834931076606,-0.1700045449533576
2017-08,0.019577486263736267,1.425201025238729,-0.15375532033321837
2017-09,-0.030726160329585445,1.3814100700353544,-0.1797571700387185
2017-10,0.01028987965367965,1.3956246134083994,-0.17131697003162338
2017-11,0.025437719646453347,1.431126121055972,-0.15023716343951432
2017-12,0.004549304043862869,1.4376367489057698,-0.14637133393082535
2018-01,-0.0034518479729729705,1.432674245408188,-0.14931793031146778
2018-02,0.012659667455512748,1.4508114249271336,-0.13854857819884348
2018-03,0.011455755953714074,1.467431566545959,-0.12868000094470944
2018-04,-0.01407298471102151,1.4467804245454874,-0.14094207396982184
2018-05,0.00861466900467022,1.459243959025383,-0.13354157428123337
2018-06,-0.0019969336626676068,1.4563299456415608,-0.13527183427885314
2018-07,-0.04387710543611794,1.3924304030668702,-0.17321360317978074
2018-08,-0.031135108582949305,1.3490769312731832,-0.19895568741968384
2018-09,0.010184424581005574,1.3628165035337094,-0.1907975120321661
2018-10,0.0035663392424487156,1.3676767695105185,-0.18791162144423923
2018-11,-0.01659247250859107,1.3449836303117766,-0.20138617553997196
2018-12,0.01746672966650073,1.368476095788301,-0.18743700376019845
2019-01,-0.007625046300211415,1.3580414021971827,-0.1936328342283654
2019-02,-0.014537896777371238,1.3382983364726435,-0.20535571684901488
2019-03,-0.002303617663538312,1.3352154087856614,-0.20718627345591112
2019-04,0.0047654260021097045,1.3415782790131061,-0.20340817830860847
2019-05,-0.04557571708789137,1.2804348869175446,-0.23971342180854327
2019-06,-0.00803385950530609,1.2701480529303566,-0.2458214573615033
2019-07,-0.013908726638493657,1.2524819108717333,-0.2563111205476797
2019-08,0.07354345872069107,1.344593762582341,-0.20161766814064097
2019-09,0.017241165329052968,1.3677761259434364,-0.187852626361259
2019-10,0.033389959005834656,1.4134461147178472,-0.16073505884876504
2019-11,0.0313734527294686,1.4577907995835988,-0.13440441989005647
2019-12,-0.00919116104951959,1.444392009568118,-0.14236024827059934
2020-01,-0.03662260798122067,1.3914946072304972,-0.1737692526872966
2020-02,-0.028537105860988454,1.351785378318966,-0.19734748698896287
2020-03,0.044391797652782616,1.4117935613032917,-0.16171629904587936
2020-04,-0.06430132010390237,1.3210133715973005,-0.21561904763881423
2020-05,-0.010299998605785995,1.3074069357116236,-0.22369817035453954
2020-06,0.06019675186498716,1.3861085866072194,-0.1769673217430363
2020-07,0.010394414708886607,1.4005163740879634,-0.1684123787662678
2020-08,-0.004541390757730206,1.3941560819706305,-0.17218894310358157
2020-09,-0.01101539191136732,1.3787989063421076,-0.18130760632385878
2020-10,0.05794338830703011,1.4586911867695969,-0.13386979505307017
2020-11,0.013901076851851865,1.4789685650600002,-0.12182965251039257
2020-12,0.06541091026768883,1.5757092451578723,-0.06438773071100479
2021-01,0.045900966564247,1.6480358225348384,-0.02144222322127154
2021-02,0.024493142230783343,1.68840139833761,0.0
2021-03,-0.004329009566539921,1.681092292532047,-0.004329009566540032
2021-04,0.01937559500376823,1.7136644559561043,0.0
2021-05,-0.014058155037984809,1.6895734953511894,-0.01405815503798491
2021-06,0.01464888918914145,1.7143238702614993,0.0
2021-07,0.03112357300626526,1.7676797543939664,0.0
2021-08,-0.000956369300179092,1.765989199744316,-0.0009563693001790607
2021-09,-0.0007086401960784208,1.7647377488115368,-0.0016643317745290709
2021-10,0.013082856719576715,1.7878255599268664,0.0
2021-11,0.0016029791434927685,1.7906914070116327,0.0
2021-12,0.0486517273241428,1.877811637067248,0.0
2022-01,0.008702111383638723,1.8941525630905,0.0
2022-02,0.00961207827518104,1.9123593057920605,0.0
2022-03,-0.007255450167080901,1.8984842781473326,-0.007255450167080957
2022-04,-0.004032278990390891,1.8908290598789717,-0.01125847315819739
2022-05,0.03929395421505946,1.9651272103863597,0.0
2022-06,-0.0012426458485894631,1.962685253216423,-0.0012426458485894631
2022-07,0.00945974357728515,1.9812517524347693,0.0
2022-08,-0.01601614600550963,1.9495197350941023,-0.0160161460055096
2022-09,-0.04502657211107794,1.861739544159918,-0.06032156596352889
2022-10,0.04502975607027703,1.9455732216998278,-0.018008075294366765
2022-11,-0.01044792249459265,1.925246023471953,-0.028267850814007067
2022-12,0.00011631830577643609,1.9254699648276061,-0.028154820576745343
2023-01,0.009338182419971652,1.9434503546033426,-0.019079553007320893
2023-02,-0.030740937032919524,1.8837068696258763,-0.04923396670262603
2023-03,-0.017883187412587414,1.8500201866459784,-0.06623669386160524
2023-04,-0.015749647785547785,1.820883020310151,-0.08094313704835365
2023-05,-0.03942531851345189,1.7490941272586868,-0.1171772466021962
2023-06,0.0018536321314316165,1.7523363043338718,-0.11554081798013915
2023-07,-0.048384196394188686,1.667550920436315,-0.15833466474563151
2023-08,-0.01396208985699543,1.6442684246440677,-0.17008607178597124
2023-09,0.022051862433862437,1.6805276057486622,-0.1517849240090492
2023-10,0.08533619713261649,1.823937440799634,-0.07940147507342821
2023-11,0.009412487813413473,1.841105229733589,-0.07073635267651046
2023-12,-0.0016606386308783694,1.8380478192655811,-0.07227952378752678
2024-01,-0.005999349383301711,1.8270207282145912,-0.07784524305436846
2024-02,-0.01962320336134454,1.7911687289194445,-0.0959408733805438
2024-03,-0.0038736309511214484,1.7842304022924211,-0.09944286479506081
2024-04,0.06624159947077773,1.9024206779646602,-0.03978851974426434
2024-05,0.0063007737971410745,1.9144074003235192,-0.03373844440975493
2024-06,0.01061316374760296,1.9347253195427756,-0.023483352297262172
2024-07,0.011018663862179486,1.956043407504465,-0.01272344360040345
2024-08,-0.0020286135718484907,1.9520753513008768,-0.014726246221883454
2024-09,-0.0038154516361021233,1.9446273022079614,-0.0184855105777445
2024-10,0.002272896712345235,1.9490472392098868,-0.016254629521617492
2024-11,-0.028433089624376143,1.893629804375289,-0.044225549807994424
